timestamp,sensor_address,volumetric_water_content_percent,soil_temperature_celsius,soil_permittivity,soil_bulk_ec_us_cm,raw_response
2026-08-31T12:46:56.246089,4,0.0,23.1,1.2,0.0,4+0.0+23.1+1.2+0+0
2026-08-31T12:46:57.896114,4,0.0,23.1,1.2,0.0,4+0.0+23.1+1.2+0+0
2026-08-31T12:46:59.547013,4,0.0,23.1,1.2,0.0,4+0.0+23.1+1.2+0+0
2026-08-31T12:47:01.308889,4,10.8,23.1,6.2,414.0,4+10.8+23.1+6.2+414+15053
2026-08-31T12:47:03.071182,4,15.3,23.1,8.3,553.0,4+15.3+23.1+8.3+553+10371
2026-08-31T12:47:04.833974,4,23.1,23.1,12.3,639.0,4+23.1+23.1+12.3+639+6144
2026-08-31T12:47:06.483976,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:47:08.134235,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:47:09.784423,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:47:11.434786,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:47:13.084763,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:47:14.734644,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:47:25.105064,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
2026-08-31T12:48:25.762897,4,0.0,23.1,1.3,0.0,4+0.0+23.1+1.3+0+0
